iterations,1,2,3,4,5,6,7,8,9,10
(9X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4349174499511719, -1, -1, -1, (9, 2))","('UNSAT', 0.9826970100402832, -1, -1, -1, (9, 2))","('UNSAT', 0.9809551239013672, -1, -1, -1, (9, 2))","('UNSAT', 0.9818117618560791, -1, -1, -1, (9, 2))","('UNSAT', 0.9793515205383301, -1, -1, -1, (9, 2))","('UNSAT', 0.9741344451904297, -1, -1, -1, (9, 2))","('UNSAT', 0.988863468170166, -1, -1, -1, (9, 2))","('UNSAT', 0.9766237735748291, -1, -1, -1, (9, 2))"
(10X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.42690038681030273, -1, -1, -1, (10, 2))","('UNSAT', 0.9830822944641113, -1, -1, -1, (10, 2))","('UNSAT', 0.9675757884979248, -1, -1, -1, (10, 2))","('UNSAT', 0.97920823097229, -1, -1, -1, (10, 2))","('UNSAT', 0.9998738765716553, -1, -1, -1, (10, 2))","('UNSAT', 1.0098190307617188, -1, -1, -1, (10, 2))","('UNSAT', 0.9792561531066895, -1, -1, -1, (10, 2))","('UNSAT', 0.9800722599029541, -1, -1, -1, (10, 2))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03495645523071289, -1, -1, -1, (1, 3))","('UNSAT', 0.03505849838256836, -1, -1, -1, (1, 3))","('UNSAT', 0.03487420082092285, -1, -1, -1, (1, 3))","('UNSAT', 0.03687906265258789, -1, -1, -1, (1, 3))","('UNSAT', 0.03563046455383301, -1, -1, -1, (1, 3))","('UNSAT', 0.03518319129943848, -1, -1, -1, (1, 3))","('UNSAT', 0.03647613525390625, -1, -1, -1, (1, 3))","('UNSAT', 0.034909963607788086, -1, -1, -1, (1, 3))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 1.9877159595489502, -1, -1, -1, (2, 3))","('UNSAT', 0.5559291839599609, -1, -1, -1, (2, 3))","('UNSAT', 0.5617361068725586, -1, -1, -1, (2, 3))","('UNSAT', 0.5418350696563721, -1, -1, -1, (2, 3))","('UNSAT', 0.5417122840881348, -1, -1, -1, (2, 3))","('UNSAT', 0.5385568141937256, -1, -1, -1, (2, 3))","('UNSAT', 0.5704641342163086, -1, -1, -1, (2, 3))","('UNSAT', 0.5430798530578613, -1, -1, -1, (2, 3))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 13.645598411560059, -1, -1, -1, (3, 3))","('UNSAT', 18.076914072036743, -1, -1, -1, (3, 3))","('UNSAT', 18.063271045684814, -1, -1, -1, (3, 3))","('UNSAT', 17.96718430519104, -1, -1, -1, (3, 3))","('UNSAT', 18.134952783584595, -1, -1, -1, (3, 3))","('UNSAT', 18.01482582092285, -1, -1, -1, (3, 3))","('UNSAT', 18.068933248519897, -1, -1, -1, (3, 3))","('UNSAT', 18.043830633163452, -1, -1, -1, (3, 3))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.8823792934417725, -1, -1, -1, (4, 3))","('UNSAT', 32.48224139213562, -1, -1, -1, (4, 3))","('UNSAT', 32.35603713989258, -1, -1, -1, (4, 3))","('UNSAT', 32.31482267379761, -1, -1, -1, (4, 3))","('UNSAT', 32.52529168128967, -1, -1, -1, (4, 3))","('UNSAT', 32.408971548080444, -1, -1, -1, (4, 3))","('UNSAT', 32.50073504447937, -1, -1, -1, (4, 3))","('UNSAT', 32.363605260849, -1, -1, -1, (4, 3))"
(5X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.2861387729644775, -1, -1, -1, (5, 3))","('UNSAT', 2.715386152267456, -1, -1, -1, (5, 3))","('UNSAT', 2.707993745803833, -1, -1, -1, (5, 3))","('UNSAT', 2.756727695465088, -1, -1, -1, (5, 3))","('UNSAT', 2.7555623054504395, -1, -1, -1, (5, 3))","('UNSAT', 2.74227237701416, -1, -1, -1, (5, 3))","('UNSAT', 2.733110189437866, -1, -1, -1, (5, 3))","('UNSAT', 2.7315475940704346, -1, -1, -1, (5, 3))"
(6X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.286694526672363, -1, -1, -1, (6, 3))","('UNSAT', 2.7331321239471436, -1, -1, -1, (6, 3))","('UNSAT', 2.7034852504730225, -1, -1, -1, (6, 3))","('UNSAT', 2.7231621742248535, -1, -1, -1, (6, 3))","('UNSAT', 2.762378215789795, -1, -1, -1, (6, 3))","('UNSAT', 2.7195968627929688, -1, -1, -1, (6, 3))","('UNSAT', 2.7285704612731934, -1, -1, -1, (6, 3))","('UNSAT', 2.754850149154663, -1, -1, -1, (6, 3))"
(7X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 5.252116918563843, -1, -1, -1, (7, 3))","('UNSAT', 2.7184340953826904, -1, -1, -1, (7, 3))","('UNSAT', 2.7143731117248535, -1, -1, -1, (7, 3))","('UNSAT', 2.73608136177063, -1, -1, -1, (7, 3))","('UNSAT', 2.766207456588745, -1, -1, -1, (7, 3))","('UNSAT', 2.724416732788086, -1, -1, -1, (7, 3))","('UNSAT', 2.7576065063476562, -1, -1, -1, (7, 3))","('UNSAT', 2.7161712646484375, -1, -1, -1, (7, 3))"
(8X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 3.8741812705993652, -1, -1, -1, (8, 3))","('UNSAT', 32.60629177093506, -1, -1, -1, (8, 3))","('UNSAT', 32.414347410202026, -1, -1, -1, (8, 3))","('UNSAT', 32.53435802459717, -1, -1, -1, (8, 3))","('UNSAT', 33.21898293495178, -1, -1, -1, (8, 3))","('UNSAT', 32.646445751190186, -1, -1, -1, (8, 3))","('UNSAT', 32.68964123725891, -1, -1, -1, (8, 3))","('UNSAT', 32.42888832092285, -1, -1, -1, (8, 3))"
