cell,iteration,model_id,status,runtime,area,delay,total_power,et,labeling_time,subgraph_extraction,subgraph_inputs,subgraph_outputs,subxpat_phase1,subxpat_phase2
"(5, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.5679078102111816
"(5, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.2918379306793213
"(5, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.2092924118041992
"(5, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.1341829299926758
"(5, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.2060770988464355
"(5, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.8323256969451904
"(5, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6784732341766357
"(5, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.622452974319458
"(5, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.6201717853546143
"(5, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.1904945373535156
"(5, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.9234545230865479
"(5, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.6696333885192871
"(5, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.6596934795379639
"(5, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,2.3934006690979004
"(6, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.4468629360198975
"(6, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.263399600982666
"(6, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.2468445301055908
"(6, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.0434551239013672
"(6, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.1395857334136963
"(6, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.8437793254852295
"(6, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6995642185211182
"(6, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.6710524559020996
"(6, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.7042088508605957
"(6, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.162832260131836
"(6, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.9116816520690918
"(6, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.6792817115783691
"(6, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.6410818099975586
"(6, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,2.312328338623047
"(7, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.5576906204223633
"(7, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.5081162452697754
"(7, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.2118403911590576
"(7, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.123626708984375
"(7, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.27595853805542
"(7, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.7739801406860352
"(7, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6557347774505615
"(7, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.6535613536834717
"(7, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.6189312934875488
"(7, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.1597833633422852
"(7, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.0627727508544922
"(7, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.6657769680023193
"(7, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.6551907062530518
"(7, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,2.2874112129211426
"(8, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.617523193359375
"(8, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.5337550640106201
"(8, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.294865369796753
"(8, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.1539485454559326
"(8, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.2547595500946045
"(8, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.7973754405975342
"(8, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6629631519317627
"(8, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.6637821197509766
"(8, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.6200339794158936
"(8, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.2173316478729248
"(8, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,1.0187697410583496
"(8, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.6872732639312744
"(8, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.6672682762145996
"(8, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,2.140968084335327
"(1, 2)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,4.988839149475098
"(1, 2)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.0700855255126953
"(1, 2)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.4804332256317139
